,ClassName,FileName,Unnamed: 0,XMax,XMin,YMax,YMin
22,Truck,25620e26353efb5e.jpg,784.0,0.17,0.1025,0.557013,0.438951
23,Truck,25620e26353efb5e.jpg,785.0,0.56875,0.296875,0.565086,0.342079
24,Truck,a7acab95098d5f26.jpg,53.0,0.755058,0.06791900000000001,0.87875,0.12875
25,Truck,de8ee94cba09b0b3.jpg,1032.0,0.980625,0.631875,0.849774,0.374661
26,Car,9c2833b321205f3a.jpg,1859.0,0.8525,0.144375,0.98,0.075833
27,Car,9c2833b321205f3a.jpg,1860.0,0.999375,0.65875,0.615,0.0
28,Car,f24190eb8539fa7e.jpg,71.0,0.999375,0.0,0.968105,0.518762
29,Truck,c6af96f7ce47d737.jpg,343.0,0.8975,0.5775,0.8235290000000001,0.593838
30,Person,f8be8d32da3c9c67.jpg,1721.0,0.678125,0.228125,0.8095680000000001,0.057223
31,Person,f8be8d32da3c9c67.jpg,1722.0,0.6775,0.543125,0.772045,0.518762
32,Person,f8be8d32da3c9c67.jpg,1723.0,0.999375,0.804375,0.926829,0.772983
33,Person,3927cf01a09b340c.jpg,2039.0,0.78625,0.325,0.810833,0.3775
34,Person,3927cf01a09b340c.jpg,2040.0,0.2525,0.1225,0.7375,0.661667
35,Person,3927cf01a09b340c.jpg,2041.0,0.26,0.18,0.7425,0.65
36,Person,3927cf01a09b340c.jpg,2042.0,0.37625,0.2825,0.730833,0.579167
37,Truck,9838f870a10288cb.jpg,497.0,0.943125,0.054375,0.902439,0.278612
38,Truck,9838f870a10288cb.jpg,498.0,0.999375,0.905625,0.420263,0.314259
39,Truck,db5d6323dd3c5fe1.jpg,1336.0,0.99125,0.08375,0.881081,0.035135
40,Car,0291a715e05d386b.jpg,1756.0,0.999062,0.118199,0.92375,0.450625
41,Car,66ee9242fe176ccd.jpg,134.0,0.999023,0.085938,0.914451,0.025434
42,Car,92decf9fff65fbb6.jpg,1881.0,0.458125,0.295625,0.495833,0.3875
43,Car,92decf9fff65fbb6.jpg,1882.0,0.644375,0.460625,0.545833,0.399167
44,Person,4164ddcbebd2b196.jpg,1198.0,0.513373,0.398217,0.533125,0.38
45,Person,4164ddcbebd2b196.jpg,1199.0,0.641159,0.5497770000000001,0.345625,0.266875
46,Person,4164ddcbebd2b196.jpg,1200.0,0.732541,0.643388,0.373125,0.256875
47,Person,d1d136df6de717c9.jpg,534.0,0.294375,0.16125,0.711069,0.201689
48,Person,d1d136df6de717c9.jpg,535.0,0.93375,0.303125,0.992495,0.10788
49,Person,22cc66b5bb85cd63.jpg,2961.0,0.724375,0.54875,0.854167,0.235
50,Car,5599f7a75c71eab0.jpg,1563.0,0.715655,0.389776,0.997917,0.714583
51,Car,5599f7a75c71eab0.jpg,1564.0,0.958466,0.7092649999999999,0.691667,0.51875
52,Car,5599f7a75c71eab0.jpg,1565.0,0.996805,0.8498399999999999,0.997917,0.760417
53,Truck,b241b721a5da2cfa.jpg,1058.0,0.84625,0.056875,0.873942,0.387582
54,Truck,b241b721a5da2cfa.jpg,1059.0,0.87375,0.6675,0.7732829999999999,0.481656
55,Person,fc4eb41fc376a102.jpg,1637.0,0.560938,0.490625,0.596115,0.396728
56,Person,fc4eb41fc376a102.jpg,1638.0,0.320312,0.276563,0.571575,0.41002
57,Person,fc4eb41fc376a102.jpg,1639.0,0.508594,0.46875,0.542945,0.39775
58,Person,fc4eb41fc376a102.jpg,1640.0,0.65,0.592188,0.5347649999999999,0.4345600000000001
59,Car,f3b5191d9862c917.jpg,1897.0,1.0,0.491667,0.97125,0.8075
60,Car,f3b5191d9862c917.jpg,1898.0,0.351667,0.0,0.945,0.7875
61,Truck,f9d4413e164c4326.jpg,20.0,0.644667,0.14400000000000002,0.976,0.7020000000000001
62,Truck,70e1a6b794dd2968.jpg,820.0,0.974375,0.841875,0.6754220000000001,0.5572229999999999
63,Truck,70e1a6b794dd2968.jpg,821.0,0.60375,0.576875,0.549719,0.529081
64,Truck,70e1a6b794dd2968.jpg,822.0,0.85875,0.738125,0.638837,0.5365850000000001
65,Car,1abf405d1ab2fb8e.jpg,1299.0,0.999375,0.351875,0.855302,0.333003
66,Car,1abf405d1ab2fb8e.jpg,1300.0,0.999375,0.370625,0.999009,0.185332
67,Car,1abf405d1ab2fb8e.jpg,1301.0,0.999375,0.85,0.999009,0.804757
68,Truck,20343e61b095bbe3.jpg,1001.0,0.97625,0.2025,0.966292,0.12921300000000002
69,Car,ed2d2d68d51dc5bd.jpg,1448.0,0.871875,0.165625,0.90625,0.235417
70,Truck,bcbf2177339afdcb.jpg,1208.0,0.8925,0.613125,0.4821760000000001,0.219512
71,Truck,bcbf2177339afdcb.jpg,1209.0,0.5225,0.185625,0.494371,0.197936
72,Truck,706c4e038b919882.jpg,1142.0,0.93625,0.15375,0.904395,0.06399400000000001
73,Person,04bb2ce5401f9adc.jpg,101.0,0.436875,0.379375,0.886481,0.631579
74,Person,04bb2ce5401f9adc.jpg,102.0,0.809375,0.665625,0.968008,0.599587
75,Truck,f5939574e33b6755.jpg,1292.0,0.2825,0.01375,0.537665,0.256121
76,Truck,9d183650979b32e2.jpg,1329.0,0.87625,0.140625,0.873449,0.204301
77,Car,c62caf1c0f585074.jpg,2003.0,0.76,0.0,0.800564,0.33960500000000005
78,Car,c62caf1c0f585074.jpg,2004.0,0.999375,0.785625,0.924741,0.411101
79,Car,c62caf1c0f585074.jpg,2005.0,0.980625,0.85,0.376294,0.33584200000000003
80,Truck,24cdb1a9895603fa.jpg,722.0,0.51875,0.3625,0.933177,0.803048
81,Car,c38d5871247ddf17.jpg,1566.0,0.021094,0.0,0.571875,0.527083
82,Car,c38d5871247ddf17.jpg,1567.0,0.06328099999999999,0.0125,0.565625,0.525
83,Truck,9b6015d8a8eef681.jpg,1413.0,0.988691,0.0937,0.9375,0.595
84,Truck,022d72de1aae2be8.jpg,947.0,0.651111,0.052222000000000005,0.685,0.46
85,Car,9d0973dad3df765b.jpg,1280.0,0.296875,0.0,0.578799,0.210131
86,Car,9d0973dad3df765b.jpg,1281.0,0.94375,0.0,0.863977,0.117261
87,Car,9d0973dad3df765b.jpg,1282.0,0.43,0.13125,0.432458,0.243902
88,Car,9d0973dad3df765b.jpg,1283.0,0.473125,0.23375,0.307692,0.13508399999999998
89,Truck,55ce810bb0f7f55d.jpg,523.0,0.99,0.006875,0.885833,0.0025
90,Person,f76fdc11054fde34.jpg,1053.0,0.904097,0.090317,0.978661,0.093451
91,Person,2ec0a16fe3dbed7c.jpg,3222.0,0.460625,0.22875,0.999062,0.111632
92,Truck,0507cbf593189c8c.jpg,630.0,0.9875,0.403125,0.907812,0.507812
93,Truck,0507cbf593189c8c.jpg,631.0,0.59375,0.039062,0.80625,0.55625
94,Truck,0507cbf593189c8c.jpg,632.0,0.596875,0.2375,0.54375,0.448438
95,Truck,0507cbf593189c8c.jpg,633.0,0.86875,0.570312,0.570312,0.396875
96,Truck,42dcc3852df11f41.jpg,1071.0,0.900625,0.10875,0.8815790000000001,0.165414
97,Car,be5d82f510332c8d.jpg,1550.0,0.796875,0.123125,0.689558,0.377234
98,Car,1b89b7741c4bf77a.jpg,2453.0,0.186875,0.0,0.230833,0.17
99,Car,1b89b7741c4bf77a.jpg,2454.0,0.908125,0.0,0.883333,0.161667
100,Car,d875551ea504cb52.jpg,1429.0,0.999375,0.0,0.999062,0.54409
101,Person,f2190600a8dce82d.jpg,1591.0,0.65625,0.514375,0.453333,0.331667
102,Car,b0f803f7dcd6a935.jpg,2499.0,0.80375,0.196875,0.76454,0.253283
103,Truck,757c7a9d305a8a5e.jpg,1270.0,0.71125,0.465,0.729831,0.532833
104,Car,fc3acf76d90be401.jpg,237.0,0.086875,0.0,0.489681,0.353659
105,Car,fc3acf76d90be401.jpg,238.0,0.20375,0.0,0.476548,0.260788
106,Car,fc3acf76d90be401.jpg,239.0,0.30125,0.064375,0.474672,0.306754
107,Truck,2e4c6b7097fb7504.jpg,5.0,0.7925,0.41625,0.8208260000000001,0.561914
108,Truck,7c7108a83f8ca9d6.jpg,1174.0,0.951875,0.0025,0.70273,0.197169
109,Car,0b832d2415d0c358.jpg,562.0,0.232031,0.113281,0.626322,0.490012
110,Car,0b832d2415d0c358.jpg,563.0,0.4914060000000001,0.197656,0.648649,0.437133
111,Car,0b832d2415d0c358.jpg,564.0,0.75625,0.386719,0.7050529999999999,0.4653350000000001
112,Truck,b6ce3bc877a4289b.jpg,776.0,0.999023,0.517578,0.994792,0.510417
113,Car,1f0246c55677bda9.jpg,2336.0,0.56625,0.096875,0.863333,0.464444
114,Person,a806afcdc63693e9.jpg,211.0,0.269375,0.2025,0.675,0.475
115,Person,a806afcdc63693e9.jpg,212.0,0.28375,0.254375,0.554167,0.465
116,Person,a806afcdc63693e9.jpg,213.0,0.3575,0.3125,0.621667,0.4425
117,Person,a806afcdc63693e9.jpg,214.0,0.459375,0.336875,0.789167,0.423333
118,Person,a806afcdc63693e9.jpg,215.0,0.601875,0.524375,0.685833,0.430833
119,Person,a806afcdc63693e9.jpg,216.0,0.993125,0.803125,0.854167,0.324167
120,Car,ebaac46f600a8187.jpg,608.0,0.998366,0.0,0.998366,0.0
121,Car,51fe196832b5d9d2.jpg,1145.0,0.999375,0.0,0.999167,0.0
122,Car,1d96e29f8eca1d7c.jpg,912.0,0.89,0.111875,0.923013,0.16318
123,Truck,e26347d2e35079fd.jpg,925.0,0.9175,0.718125,0.855833,0.754167
124,Truck,e26347d2e35079fd.jpg,926.0,0.999375,0.8725,0.845,0.736667
125,Person,18127291eb407c15.jpg,1858.0,0.194167,0.083333,0.55125,0.3125
126,Person,18127291eb407c15.jpg,1859.0,0.856667,0.143333,0.999375,0.226875
127,Truck,b09aaf024c5257f4.jpg,342.0,0.924375,0.268125,0.8531139999999999,0.180964
128,Truck,a2fa0e88557e4180.jpg,406.0,0.52,0.1575,0.999167,0.0
129,Car,216d8cf39f8c79a9.jpg,557.0,0.984375,0.8757809999999999,0.625,0.479167
130,Car,216d8cf39f8c79a9.jpg,558.0,0.07421900000000001,0.0,0.6638890000000001,0.536111
131,Car,216d8cf39f8c79a9.jpg,559.0,0.8007810000000001,0.6992189999999999,0.5444439999999999,0.477778
132,Car,7f66cca32acc8e7e.jpg,2580.0,0.244141,0.091797,0.830729,0.764323
133,Car,7f66cca32acc8e7e.jpg,2581.0,0.813477,0.629883,0.861979,0.778646
134,Car,7f66cca32acc8e7e.jpg,2582.0,0.907227,0.6992189999999999,0.886719,0.789062
135,Person,b3abdf8fd110e418.jpg,3286.0,0.415,0.341875,0.72346,0.442988
136,Person,b3abdf8fd110e418.jpg,3287.0,0.465,0.41875,0.6015729999999999,0.4600260000000001
137,Person,b3abdf8fd110e418.jpg,3288.0,0.650625,0.595625,0.798165,0.470511
138,Person,b3abdf8fd110e418.jpg,3289.0,0.916875,0.825,0.8165140000000001,0.5032770000000001
139,Car,4c4938ccacdeb27e.jpg,87.0,0.999375,0.0,0.999167,0.781667
140,Person,195b2a1751ab3b4e.jpg,2699.0,0.5525,0.0425,0.796435,0.0
141,Person,2e0e392e9443ff01.jpg,621.0,0.237385,0.082569,0.614258,0.292969
142,Person,2e0e392e9443ff01.jpg,622.0,0.791284,0.0,0.99707,0.269531
143,Person,2e0e392e9443ff01.jpg,623.0,0.998853,0.744266,0.938477,0.623047
144,Person,2e0e392e9443ff01.jpg,624.0,0.998853,0.799312,0.706055,0.517578
145,Truck,294b4ac3610f8f6f.jpg,236.0,0.893925,0.104147,0.93006,0.206845
146,Truck,d72ac0c07277b642.jpg,1073.0,0.51875,0.189375,0.671441,0.260519
147,Truck,d72ac0c07277b642.jpg,1074.0,0.203125,0.184375,0.200537,0.170994
148,Truck,d72ac0c07277b642.jpg,1075.0,0.32,0.305625,0.193375,0.16204100000000002
149,Car,cd960e8c1adc2460.jpg,1225.0,0.22125,0.115625,0.455,0.3625
150,Car,cd960e8c1adc2460.jpg,1226.0,0.48875,0.14625,0.6725,0.346667
151,Car,cd960e8c1adc2460.jpg,1227.0,0.540625,0.438125,0.419167,0.360833
152,Car,cd960e8c1adc2460.jpg,1228.0,0.699375,0.516875,0.441667,0.353333
153,Person,4e184c2aefb55930.jpg,1658.0,0.805625,0.429375,0.8536590000000001,0.186679
154,Person,4e184c2aefb55930.jpg,1659.0,0.62125,0.494375,0.640713,0.242026
155,Person,4e184c2aefb55930.jpg,1660.0,0.999375,0.7125,0.999062,0.0
156,Person,46ffe06fd042d94e.jpg,751.0,0.662,0.109,0.974513,0.176912
157,Car,a97799b9908ed327.jpg,780.0,0.9,0.08625,0.895833,0.224167
158,Car,a97799b9908ed327.jpg,781.0,0.44125,0.376875,0.224167,0.201667
159,Car,b7c7e2278f56a70e.jpg,1975.0,0.8775,0.1725,0.942777,0.185741
160,Car,b7c7e2278f56a70e.jpg,1976.0,0.104375,0.043125,0.190432,0.100375
161,Car,b7c7e2278f56a70e.jpg,1977.0,0.210625,0.08125,0.248593,0.115385
162,Car,b7c7e2278f56a70e.jpg,1978.0,0.22625,0.161875,0.192308,0.115385
163,Car,b7c7e2278f56a70e.jpg,1979.0,0.365625,0.23,0.238274,0.098499
164,Car,b7c7e2278f56a70e.jpg,1980.0,0.54125,0.418125,0.248593,0.146341
165,Car,b7c7e2278f56a70e.jpg,1981.0,0.668125,0.506875,0.213884,0.15197
166,Car,b7c7e2278f56a70e.jpg,1982.0,0.964375,0.876875,0.242026,0.168856
167,Car,b7c7e2278f56a70e.jpg,1983.0,0.973125,0.879375,0.547842,0.305816
168,Car,19261982821a7942.jpg,1386.0,0.82125,0.50875,0.454972,0.211069
169,Car,9d8b28462fdd9cc2.jpg,966.0,0.941875,0.0225,0.939167,0.098333
170,Car,9d8b28462fdd9cc2.jpg,967.0,0.999375,0.9575,0.4125,0.17083299999999998
171,Truck,60b23576b11056b4.jpg,752.0,0.9275,0.154167,0.875556,0.4
172,Person,dca6ee28b12a3948.jpg,554.0,0.458333,0.2325,0.56125,0.085625
173,Person,dca6ee28b12a3948.jpg,555.0,0.736667,0.479167,0.56,0.225
174,Person,cbcfe685ddd25d78.jpg,3089.0,0.999375,0.21125,0.995833,0.0025
175,Car,6cc8a323102ce6b2.jpg,141.0,0.999375,0.0,0.429644,0.0
176,Person,f427b52bf751fc2d.jpg,1769.0,0.045625,0.0,0.356946,0.21711100000000005
177,Person,f427b52bf751fc2d.jpg,1770.0,0.1225,0.040625,0.348666,0.197792
178,Person,f427b52bf751fc2d.jpg,1771.0,0.1825,0.103125,0.411224,0.23919
179,Person,f427b52bf751fc2d.jpg,1772.0,0.308125,0.146875,0.626495,0.228151
180,Person,f427b52bf751fc2d.jpg,1773.0,0.406875,0.2375,0.964121,0.26035
181,Person,f427b52bf751fc2d.jpg,1774.0,0.453125,0.3375,0.432383,0.156394
182,Person,f427b52bf751fc2d.jpg,1775.0,0.716875,0.354375,0.99908,0.348666
183,Person,f427b52bf751fc2d.jpg,1776.0,0.999375,0.4825,0.777369,0.163753
184,Person,67f5b5e2366fd244.jpg,546.0,0.65736,0.309645,0.966981,0.042453
185,Truck,7d807acc7dec1fd7.jpg,217.0,0.953125,0.086875,0.819167,0.0775
186,Person,f1f3527c04554de7.jpg,1744.0,0.058125,0.03625,0.5283329999999999,0.473333
187,Person,f1f3527c04554de7.jpg,1745.0,0.37125,0.081875,0.670833,0.13833299999999998
188,Person,f1f3527c04554de7.jpg,1746.0,0.67875,0.63875,0.556667,0.431667
189,Person,f1f3527c04554de7.jpg,1747.0,0.81375,0.80375,0.471667,0.445833
190,Person,f1f3527c04554de7.jpg,1748.0,0.859375,0.84125,0.471667,0.435833
191,Person,f1f3527c04554de7.jpg,1749.0,0.935,0.91875,0.4425,0.421667
192,Person,f1f3527c04554de7.jpg,1750.0,0.936875,0.91875,0.473333,0.430833
193,Person,f1f3527c04554de7.jpg,1751.0,0.944375,0.935,0.456667,0.425
194,Person,f1f3527c04554de7.jpg,1752.0,0.96375,0.943125,0.465,0.4425
195,Person,f1f3527c04554de7.jpg,1753.0,0.9725,0.949375,0.450833,0.425
196,Person,f1f3527c04554de7.jpg,1754.0,0.984375,0.96375,0.473333,0.4425
197,Person,f1f3527c04554de7.jpg,1755.0,0.990625,0.97125,0.453333,0.423333
198,Person,f1f3527c04554de7.jpg,1756.0,0.999375,0.989375,0.453333,0.42
199,Person,f1f3527c04554de7.jpg,1757.0,0.999375,0.989375,0.466667,0.4475
200,Person,d14e6a6b3f60229e.jpg,3174.0,0.279948,0.036458,0.419922,0.241211
201,Person,d14e6a6b3f60229e.jpg,3175.0,0.998698,0.751302,0.390625,0.216797
202,Person,ca06f6afda1ab97f.jpg,181.0,0.985039,0.113386,0.974375,0.063125
203,Person,2472f58cb7c26ac3.jpg,3620.0,0.999375,0.0,0.999062,0.0
204,Car,76f36b1520572b94.jpg,824.0,0.989121,0.8769870000000001,0.72,0.641875
205,Car,76f36b1520572b94.jpg,825.0,0.258577,0.0,0.7075,0.6325
206,Person,f4d7d3b90ca3b6c5.jpg,1398.0,0.6054689999999999,0.552344,0.777778,0.615278
207,Person,f4d7d3b90ca3b6c5.jpg,1399.0,0.972656,0.0,0.998611,0.618056
208,Person,1e812b400a227d12.jpg,3090.0,0.979375,0.894375,0.929167,0.575833
209,Person,1e812b400a227d12.jpg,3091.0,0.98375,0.0,0.999167,0.0
210,Car,1e7475dff9353225.jpg,1553.0,0.076423,0.0,0.518889,0.442222
211,Car,1e7475dff9353225.jpg,1554.0,0.5292680000000001,0.073171,0.84,0.446667
212,Car,1e7475dff9353225.jpg,1555.0,0.329268,0.243902,0.467778,0.437778
213,Car,1e7475dff9353225.jpg,1556.0,0.957724,0.699187,0.677778,0.437778
214,Person,05bccc1559d41f53.jpg,203.0,0.3575,0.335,0.74375,0.694375
215,Person,05bccc1559d41f53.jpg,204.0,0.385833,0.360833,0.744375,0.686875
216,Truck,d707b6fd7bb80f69.jpg,328.0,0.983125,0.685,0.769231,0.58818
217,Car,5710d6e78815db06.jpg,243.0,0.6025,0.0,0.97,0.459167
218,Person,b749b750c534a62f.jpg,611.0,0.57875,0.49,0.578333,0.418333
219,Person,b749b750c534a62f.jpg,612.0,0.76,0.59375,0.18,0.0
220,Person,79581a2a00f3dcf6.jpg,1811.0,0.996875,0.095,0.996667,0.0
221,Car,80f523931b1939e1.jpg,0.0,0.950781,0.032812,0.83939,0.15826500000000002
222,Car,80f523931b1939e1.jpg,1.0,0.357812,0.254687,0.11606099999999997,0.056272
223,Car,80f523931b1939e1.jpg,2.0,0.458594,0.321875,0.151231,0.052755
224,Car,80f523931b1939e1.jpg,3.0,0.8640620000000001,0.414062,0.368113,0.05041
225,Person,434c4f54eaa347f0.jpg,1768.0,0.8189960000000001,0.7043010000000001,0.9975,0.79125
226,Car,f22d4d661f08f012.jpg,79.0,0.178125,0.0,0.998958,0.928125
227,Car,f22d4d661f08f012.jpg,80.0,0.33125,0.183594,0.991667,0.930208
228,Truck,355badc7da6a1577.jpg,659.0,0.890625,0.181875,0.89,0.074167
229,Truck,355badc7da6a1577.jpg,660.0,0.999375,0.799375,0.568333,0.0325
230,Truck,355badc7da6a1577.jpg,661.0,0.9325,0.86125,0.165,0.106667
231,Car,951fa24638b56077.jpg,82.0,0.878906,0.6835939999999999,0.877083,0.70625
232,Car,951fa24638b56077.jpg,83.0,0.999219,0.828125,0.810417,0.658333
233,Truck,bd5f1fa84e3e1807.jpg,762.0,0.95375,0.056875,0.965312,0.042616
234,Car,8dd29998e2e00094.jpg,1121.0,0.254375,0.0,1.0,0.999059
235,Car,8dd29998e2e00094.jpg,1122.0,0.265625,0.0,0.999059,0.9492
236,Car,8dd29998e2e00094.jpg,1123.0,0.9,0.73375,0.965193,0.8259639999999999
237,Car,8dd29998e2e00094.jpg,1124.0,0.99875,0.914375,0.8842899999999999,0.796802
238,Car,8dd29998e2e00094.jpg,1125.0,0.9975,0.979375,0.8391350000000001,0.791157
239,Truck,46e0e4472e97bb11.jpg,828.0,0.913125,0.068125,0.743333,0.311667
240,Person,55675c8e24013e95.jpg,1376.0,0.550625,0.0,0.999167,0.451667
241,Person,55675c8e24013e95.jpg,1377.0,0.75625,0.03375,0.999167,0.0075
242,Truck,4027096a6c955557.jpg,396.0,0.939693,0.028509,0.900459,0.179173
243,Truck,99aff0716b4ff434.jpg,754.0,0.570312,0.3625,0.445833,0.270833
244,Person,cf0128fdcd6ec16a.jpg,2356.0,0.64125,0.423125,1.0,0.397749
245,Car,8c698c2477ac4678.jpg,870.0,0.4375,0.0,0.579492,0.193791
246,Car,8c698c2477ac4678.jpg,871.0,0.99875,0.0,0.999059,0.289746
247,Car,8c698c2477ac4678.jpg,872.0,0.23875,0.001875,0.353716,0.201317
248,Car,8c698c2477ac4678.jpg,873.0,0.451875,0.34375,0.380056,0.22577600000000006
249,Car,8c698c2477ac4678.jpg,874.0,0.619375,0.515625,0.376294,0.26905
250,Car,8c698c2477ac4678.jpg,875.0,0.999375,0.695,0.469426,0.222013
251,Person,0d38657e9e419712.jpg,77.0,0.366875,0.25375,0.795238,0.37619
252,Person,0d38657e9e419712.jpg,78.0,0.398125,0.375,0.6190479999999999,0.540952
253,Truck,a66076e07eea8f9b.jpg,104.0,0.9990000000000001,0.401,0.976389,0.618056
254,Truck,5faa6b9b26c0ecbd.jpg,240.0,0.28375,0.11125,0.166667,0.036013
255,Truck,5faa6b9b26c0ecbd.jpg,241.0,0.485625,0.345625,0.089615,0.0
256,Truck,5faa6b9b26c0ecbd.jpg,242.0,0.700625,0.564375,0.161642,0.07872699999999999
257,Truck,5faa6b9b26c0ecbd.jpg,243.0,0.68125,0.611875,0.073702,0.0
258,Truck,fd1b4004707ae780.jpg,657.0,0.83,0.415625,0.798326,0.524686
259,Truck,d0e153400c9c0e08.jpg,1051.0,0.935625,0.10375,0.979304,0.201317
260,Truck,72b2bf3711567ed8.jpg,912.0,0.32375,0.015625,0.612663,0.424581
261,Truck,72b2bf3711567ed8.jpg,913.0,0.999375,0.9125,0.461825,0.366853
262,Person,bc0fe0ae42c509c3.jpg,2448.0,0.854167,0.0,0.998438,0.0
263,Truck,2cb07ebcb0884c25.jpg,716.0,0.92,0.0,1.0,0.0
264,Truck,187238ba8b1d5416.jpg,575.0,0.955625,0.139375,0.993446,0.033708
265,Person,d46c444a6e0ba8ba.jpg,220.0,0.14625,0.033125,0.860833,0.614167
266,Person,d46c444a6e0ba8ba.jpg,221.0,0.461875,0.4,0.809167,0.716667
267,Person,d46c444a6e0ba8ba.jpg,222.0,0.73875,0.683125,0.821667,0.678333
268,Person,d46c444a6e0ba8ba.jpg,223.0,0.78125,0.735625,0.815833,0.655833
269,Car,13c73dcbc25bddf6.jpg,1677.0,0.987234,0.73617,0.63138,0.217391
270,Car,13c73dcbc25bddf6.jpg,1678.0,0.998936,0.0,0.99811,0.247637
271,Car,13c73dcbc25bddf6.jpg,1679.0,0.323404,0.243617,0.427221,0.298677
272,Person,7745c81306d2a237.jpg,3498.0,0.779375,0.356875,0.960833,0.195
273,Person,a9892e1ce4cb5c09.jpg,2466.0,0.922819,0.065772,0.864762,0.241905
274,Person,a9892e1ce4cb5c09.jpg,2467.0,0.961074,0.897315,0.637143,0.46
275,Person,a9892e1ce4cb5c09.jpg,2468.0,0.989933,0.956376,0.639048,0.541905
276,Person,accf6a237b3db844.jpg,316.0,0.881875,0.375,0.460251,0.0
277,Person,accf6a237b3db844.jpg,317.0,0.999375,0.708125,0.465272,0.0
278,Truck,006508816f276859.jpg,34.0,0.879375,0.1275,0.8599620000000001,0.137218
279,Truck,e97b910c1075fa35.jpg,901.0,0.6914060000000001,0.21875,0.590723,0.167804
280,Car,d7d22a62adb0d362.jpg,2072.0,0.497423,0.4652060000000001,0.5854550000000001,0.5727270000000001
281,Car,d7d22a62adb0d362.jpg,2073.0,0.7074739999999999,0.546392,0.74,0.621818
282,Car,d7d22a62adb0d362.jpg,2074.0,0.688144,0.606959,0.605455,0.5836359999999999
283,Person,89d37dfd0184f1ca.jpg,1960.0,0.64125,0.58625,0.760135,0.523649
284,Person,89d37dfd0184f1ca.jpg,1961.0,0.715625,0.65375,0.716216,0.516892
285,Person,ab7bb83ab3c096a9.jpg,2345.0,0.4175,0.0,0.925,0.225833
286,Person,ab7bb83ab3c096a9.jpg,2346.0,0.999375,0.3125,0.999167,0.238333
287,Person,ab7bb83ab3c096a9.jpg,2347.0,0.73625,0.520625,0.7725,0.315833
288,Car,c0aae06be56d33ce.jpg,1460.0,0.6475,0.5675,0.851441,0.7494460000000001
289,Person,1a76122aab7176d8.jpg,0.0,0.09625,0.03,0.294559,0.186679
290,Person,1a76122aab7176d8.jpg,1.0,0.210625,0.110625,0.470919,0.122889
291,Person,1a76122aab7176d8.jpg,2.0,0.270625,0.175625,0.378987,0.14258900000000002
292,Person,1a76122aab7176d8.jpg,3.0,0.3475,0.311875,0.238274,0.194184
293,Person,1a76122aab7176d8.jpg,4.0,0.514375,0.385,0.305816,0.153846
294,Person,1a76122aab7176d8.jpg,5.0,0.469375,0.4425,0.144465,0.001876
295,Person,1a76122aab7176d8.jpg,6.0,0.48875,0.478125,0.06754199999999999,0.016886
296,Person,1a76122aab7176d8.jpg,7.0,0.505,0.48875,0.073171,0.0197
297,Person,1a76122aab7176d8.jpg,8.0,0.515625,0.5025,0.144465,0.021576
298,Person,1a76122aab7176d8.jpg,9.0,0.529375,0.518125,0.13508399999999998,0.029081
299,Person,1a76122aab7176d8.jpg,10.0,0.5425,0.526875,0.26547800000000005,0.232645
300,Person,1a76122aab7176d8.jpg,11.0,0.578125,0.528125,0.294559,0.173546
301,Person,1a76122aab7176d8.jpg,12.0,0.5575,0.534375,0.15197,0.030957
